"","control_rep2","exp_rep1","control_rep1","exp_rep2","control_rep3","exp_rep3"
"ENSG00000263745.7",4.90088091793754,4.80206752755648,4.91323135173945,4.80619223697978,4.96320149347911,4.88160019922014
"ENSG00000101574.15",9.87291998644455,9.85513152288515,9.7699028435597,9.84720751511012,9.84682382546133,9.75812204960118
"ENSG00000266783.1",3.5543263195956,3.58444986487003,3.57023012705549,3.61484158434171,3.5746580381485,3.58038206000007
"ENSG00000080986.13",11.6458419972938,11.5030604487631,11.5914118639457,11.5254481802426,11.6219070076695,11.5903997215231
"ENSG00000293256.1",4.49209334210194,4.44983464804085,4.44260014715344,4.44865457280971,4.49402141552476,4.47769375125055
"ENSG00000101596.17",12.9278982188153,12.9417936022605,12.9650691407346,12.8834121921329,12.9205671889245,12.6938956868622
"ENSG00000132205.11",8.55251522017636,8.68633614719979,8.69283865655595,8.78122898510028,8.59223600072936,8.56088267796474
"ENSG00000101577.11",11.2845675120985,11.3311093703573,11.3760919624293,11.462788997743,11.2806283467228,11.1673322117347
"ENSG00000101605.14",5.83322771387294,5.90889797900631,5.84787767294969,5.90990979195964,5.88512029141637,5.91419321982026
"ENSG00000101608.13",15.0878342067258,15.219088791616,15.0505483231727,15.1540855156987,15.078563701526,15.168687961335
"ENSG00000118680.14",15.5313768617623,15.5145274832353,15.4762660712109,15.4974834216336,15.5070151977953,15.6125059837081
"ENSG00000259256.2",8.13653743663802,8.37881967573228,8.18510356617591,8.497776674863,8.15163734214468,8.15657018805866
"ENSG00000177426.22",13.1319837517677,13.2248503664219,13.1255440830741,13.2328422769687,13.1218861488532,13.2082170199067
"ENSG00000170579.19",9.60646609108634,9.30461480604313,9.61124999099165,9.30882961215967,9.6363039231376,9.53248811686033
"ENSG00000177337.10",6.27106728824162,6.45195002176617,6.28986902445254,6.30853355007732,6.36066511044404,6.23965206580754
"ENSG00000262001.3",8.67421293304106,8.96546193112169,8.77655503967167,8.93614190724503,8.71077920012926,8.8050455398081
"ENSG00000264575.1",7.42465924617401,7.40852863886517,7.47085146358156,7.48116861163987,7.43422034596889,7.40034828864908
"ENSG00000263753.10",10.9269861530174,10.9418626039828,10.9606073821277,10.997906565888,10.9902626138922,10.9430486223571
"ENSG00000198081.11",10.0235790542518,10.1256463308016,10.026942112645,10.0450561081991,10.089750229638,9.951661585094
"ENSG00000082397.18",11.5771576489915,11.229499675898,11.5461042446864,11.2506284572217,11.5325587580305,11.4837152527846
